gene_id,family_id,class_id,subtype_logFC,subtype_logCPM,subtype_F,subtype_PValue,subtype_qvalue
33,C573_MM,C573_MM,Other,0.52833558715225,7.25915824370814,24.8494403994587,0.000393483909398828,0.00100988186838828
34,(CATTC)n,Satellite,Satellite,1.89703116286103,0.978064565399752,17.4359078258353,0.00130282334708915,0.00286380947114622
76,Cheshire_Mars,hAT-Charlie,DNA,-1.35196175709862,1.3489733978913,35.6548094432687,3.87117063665885e-05,0.000149890655447102
100,ERVB7_2B-LTR_MM,ERVK,LTR,-0.835739487484735,8.79374236620761,51.3472076264447,2.05966290266666e-05,9.52381317390081e-05
101,ERVB7_2-LTR_MM,ERVK,LTR,-0.621660944858815,8.0130028488431,46.3454768921329,2.01686523908924e-05,9.40363417725359e-05
110,Eulor1,DNA,DNA,0.622942897131696,2.22351376456445,24.5968372767427,0.000228836626433024,0.000649919251214605
112,Eulor11,DNA,DNA,-0.518608297597244,3.74008651192361,40.5713261132742,1.99885733667192e-05,9.35866677713755e-05
124,Eulor6D,DNA,DNA?,-0.724749218257868,4.34597585545847,47.0360124324631,9.15317694857185e-06,5.1729318209353e-05
148,IAP1-MM_LTR,ERVK,LTR,-0.903420167580863,10.3418484249198,11.3101572216376,0.00753241680045029,0.0137500398037584
149,IAPA_MM-int,ERVK,LTR,0.712246951139917,4.19965324857332,67.0746911767893,1.27634266825445e-06,1.24863767190867e-05
156,IAPEY4_LTR,ERVK,LTR,-0.991971486758512,7.40650575548142,39.998576393328,7.76879798976836e-05,0.000266394747281318
161,IAPEz-int,ERVK,LTR,0.735264397712069,12.6535404427181,101.013511566818,2.65909944188103e-07,5.12026988530763e-06
162,IAPLTR1a_Mm,ERVK,LTR,0.66355628881172,8.34757684666946,89.5307546287669,2.83552135441993e-07,5.12026988530763e-06
163,IAPLTR1_Mm,ERVK,LTR,0.525453500881898,8.26521503784299,60.7094031027706,2.46290335790017e-06,2.01167069889802e-05
171,IAPLTR4_I,ERVK,LTR,0.619217768711493,5.95749839899685,206.360449353885,1.32742771456077e-09,1.48073190162209e-06
241,L1Md_A,L1,LINE,0.610953276348716,13.85299916148,112.613063015626,5.9139000476329e-08,3.05101448206557e-06
244,L1Md_F,L1,LINE,0.687819544927721,11.2455764730529,113.730723506292,7.70862672135905e-08,3.05101448206557e-06
245,L1Md_F2,L1,LINE,0.519061059808061,15.1428544003247,139.838372110259,1.55382916858658e-08,1.93192759960932e-06
247,L1Md_Gf,L1,LINE,0.505710269463481,9.83266476761153,88.3279087581184,2.55903375190536e-07,5.12026988530763e-06
248,L1Md_T,L1,LINE,0.582381183173101,14.4509245486231,129.234880487916,2.53579050129256e-08,2.36462464245532e-06
276,L1_Mm,L1,LINE,0.521319743083921,10.4215819564465,173.751356331756,3.96979062097074e-09,1.48073190162209e-06
280,L1_Mus1,L1,LINE,0.568501318153326,13.4728201633941,115.916395445346,4.95500892981135e-08,3.05101448206557e-06
283,L1_Mus4,L1,LINE,0.534568640036262,12.2713908710053,89.190589890544,2.41523753366693e-07,5.0049088892098e-06
311,LTR108c_Mam,ERVL,LTR,-0.577574848782239,2.368443062502,18.675800508083,0.000751261122393952,0.00175870543087622
312,LTR108d_Mam,ERVL,LTR,0.693316908036123,2.25924019578307,31.6672601414802,6.97039938927958e-05,0.000241482257479995
323,LTR16D,ERVL,LTR,-0.511765818110322,6.39071299024175,52.5154389602211,5.03329910349104e-06,3.3726117944949e-05
328,LTR27C,ERV1,LTR,0.632336929926759,0.577476479153321,9.01403478541481,0.00977296348043327,0.0173862418674163
332,LTR31,ERV1,LTR,-0.619896877963979,6.5881259910812,87.9006491697315,2.63387386760514e-07,5.12026988530763e-06
338,LTR33C,ERVL,LTR,-0.560065685152889,6.72267696325229,34.1241058030364,8.69156040609891e-05,0.000294514461069196
342,LTR39,ERV1,LTR,-0.728885363735869,1.21666281080208,23.013863171467,0.000308178912617001,0.000832976336276387
347,LTR41,ERVL,LTR,-0.606086831687515,7.90174703929014,100.503631917346,1.1802773470069e-07,3.47560618763348e-06
348,LTR41B,ERVL,LTR,-0.819903094477926,7.38168480245491,79.1685869926836,1.37645176255703e-06,1.30529620534009e-05
350,LTR45C,ERV1,LTR,-0.697221201218783,2.94272393368989,40.2885350107481,2.0727808965269e-05,9.54502807906831e-05
